id;source_approve_result;dba_approve_result;creation_time;update_time
1;AGREED;AGREED;2021-09-21T21:57:38;2021-09-21T20:29:48
2;AGREED;REJECTED;2021-09-21T14:43:48;2021-09-22T02:59:53
3;AGREED;AGREED;2021-09-21T16:53:38;2021-09-22T01:26:32
4;AGREED;REJECTED;2021-09-22T04:41:48;2021-09-22T02:33:30
5;AGREED;AGREED;2021-09-21T23:50:04;2021-09-22T03:43:39
6;AGREED;REJECTED;2021-09-21T06:46:50;2021-09-22T00:22:53
7;REJECTED;REJECTED;2021-09-21T07:54:22;2021-09-22T00:47:47
8;AGREED;REJECTED;2021-09-21T22:50:54;2021-09-21T07:43:52
9;AGREED;AGREED;2021-09-21T19:23:52;2021-09-21T19:41:58
10;REJECTED;AGREED;2021-09-22T04:27:32;2021-09-22T03:31:42
