id;code;name;description;creation_time;update_time
1;Steel;Plastic;Credit Toys;2021-09-21T13:50:03;2021-09-22T02:41:12
2;Venezuela;virtual tan panel;AI;2021-09-21T11:02:22;2021-09-21T18:55:07
3;Vanuatu Games;Data Sports Handmade;e-enable;2021-09-21T17:45:52;2021-09-21T19:16:34
4;Assistant Arkansas;Associate;GB;2021-09-21T18:58:15;2021-09-22T01:56:10
5;next-generation Inverse payment;forecast deposit;Industrial;2021-09-22T00:54:00;2021-09-21T13:29:07
6;Granite Garden;Car Tuna panel;View payment Boliviano;2021-09-21T07:59:42;2021-09-21T20:15:17
7;Unbranded Gloves;withdrawal firmware;Hat;2021-09-21T21:56:33;2021-09-21T10:11:06
8;Industrial Front-line mobile;New Wyoming connect;Analyst quantify Electronics;2021-09-21T14:45:35;2021-09-21T08:52:16
9;Automotive Money payment;system Nevada Operations;Distributed;2021-09-21T22:11:51;2021-09-22T03:19:21
10;Way application Plastic;withdrawal;Table Infrastructure backing;2021-09-22T01:19:52;2021-09-21T21:59:42
