id;name;metastore_uris;hdfs_user;creation_time;update_time
1;Dollar back &;connect encompassing;FTP Investment Pants;2021-09-12T22:59:00;2021-09-12T08:19:49
2;Concrete;solutions Avon;Cross-group Sausages;2021-09-12T05:02:29;2021-09-12T06:56:04
3;evolve Lead;Bacon initiatives;systems Orchestrator Underpass;2021-09-12T16:05:21;2021-09-12T22:41:58
4;index;Buckinghamshire;Australian Wooden;2021-09-12T10:26:11;2021-09-12T17:17:54
5;deposit cross-media;world-class neural;Diverse Rustic;2021-09-12T07:13:04;2021-09-12T04:05:56
6;static Cambodia;Wooden;Usability Assurance Plastic;2021-09-12T14:43:00;2021-09-12T18:10:07
7;Bedfordshire digital;disintermediate Home Specialist;Berkshire Bedfordshire Books;2021-09-12T21:48:57;2021-09-12T06:47:50
8;integrate;Rustic Sausages;parse attitude;2021-09-12T17:16:10;2021-09-12T18:49:39
9;Crescent;Pants Fresh;Tennessee input;2021-09-13T02:11:14;2021-09-12T13:50:48
10;International;incremental;Concrete frictionless;2021-09-12T11:52:54;2021-09-12T17:41:14
