id;host;port;vip;creation_time;update_time
1;generation optical front-end;67321;Future-proofed Texas;2021-09-07T16:07:15;2021-09-07T16:22:29
2;Glens innovative AI;7547;online Islands mobile;2021-09-07T11:21:12;2021-09-07T16:53:26
3;Lithuania Island;296;Borders Coordinator;2021-09-08T01:20:46;2021-09-08T04:35:53
4;Intelligent;47527;logistical EXE Lodge;2021-09-07T19:58:34;2021-09-08T06:14:56
5;protocol;67448;Future;2021-09-08T05:07:05;2021-09-08T06:13:49
6;calculating Shores Jewelery;74308;Vista disintermediate;2021-09-08T01:49:48;2021-09-08T04:21:24
7;Small Designer;41483;bandwidth;2021-09-07T11:16:11;2021-09-07T08:23:55
8;Mozambique Facilitator;65589;Lights;2021-09-08T05:18:14;2021-09-07T20:05:07
9;e-tailers;75724;Tasty;2021-09-07T23:06:42;2021-09-07T17:39:02
10;programming background Money;82138;synthesizing South;2021-09-08T03:40:23;2021-09-07T17:47:14
