id;source_column_name;sink_column_name;creation_time;update_time
1;transmitting;bluetooth Architect;2021-09-08T03:18:08;2021-09-07T07:40:04
2;Infrastructure;Functionality;2021-09-07T20:54:01;2021-09-07T12:43:15
3;Jewelery;Checking;2021-09-07T10:33:22;2021-09-08T00:09:25
4;Synergized Specialist;Quality-focused Table 24/7;2021-09-08T06:36:00;2021-09-07T13:53:53
5;bus panel;Bedfordshire;2021-09-07T09:09:59;2021-09-07T13:41:39
6;Dakota defect;capacitor;2021-09-07T12:30:02;2021-09-07T18:21:52
7;Grocery indexing Licensed;redundant olive Hat;2021-09-07T10:52:24;2021-09-07T18:12:57
8;Operations withdrawal;program paradigms blockchains;2021-09-07T08:24:10;2021-09-07T19:02:23
9;leverage;Shirt;2021-09-07T08:34:10;2021-09-07T11:02:35
10;Supervisor Music Credit;maroon Plaza;2021-09-07T15:16:16;2021-09-07T10:48:21
