id;name;filter_expression;creation_time;update_time
1;compress;SCSI;2021-09-12T06:47:12;2021-09-12T12:24:10
2;withdrawal bandwidth Singapore;value-added;2021-09-12T22:00:38;2021-09-12T08:26:18
3;Buckinghamshire Alaska empowerin;Place mobile;2021-09-12T07:17:02;2021-09-12T06:14:58
4;Pants Jamaican payment;synergy transmitter;2021-09-12T14:09:56;2021-09-12T11:59:12
5;calculate Springs cross-platform;Communications copying;2021-09-12T13:51:47;2021-09-12T11:35:15
6;Global Movies;Tasty Berkshire;2021-09-12T04:19:06;2021-09-12T03:21:59
7;Administrator TCP;Bridge silver;2021-09-12T15:17:46;2021-09-12T07:22:04
8;bypassing Computer;Frozen Integrated;2021-09-12T20:42:04;2021-09-12T21:14:40
9;Accountability Forward throughpu;cyan Avon Cocos;2021-09-12T19:37:47;2021-09-12T11:37:23
10;User-centric withdrawal Ridge;Chief;2021-09-12T11:03:27;2021-09-12T09:18:26
