id;filter_expression;logical_deletion_column;logical_deletion_column_value_deletion;logical_deletion_column_value_normal;creation_time;update_time
1;integrate;withdrawal Card programming;Plastic Carolina;Human Diverse;2021-09-07T13:17:17;2021-09-07T07:03:17
2;Buckinghamshire service-desk functionalities;Implementation cultivate architecture;Peso;Small Cheese invoice;2021-09-07T11:15:43;2021-09-07T16:59:30
3;mobile Course;visualize Tuna Bulgarian;UIC-Franc Switchable Inverse;transmitter;2021-09-07T17:47:16;2021-09-07T08:20:31
4;state;Beauty Fish customized;Versatile Ergonomic;array encompassing;2021-09-07T21:21:49;2021-09-08T02:55:49
5;Handmade Orchestrator Handmade;Zloty human-resource;card Supervisor Way;next-generation 24/365;2021-09-07T08:18:02;2021-09-07T12:51:50
6;interface;Keyboard collaboration Idaho;Colorado program;Chicken;2021-09-07T17:41:06;2021-09-07T17:34:35
7;Compatible;next-generation Liberian;e-markets Berkshire Route;auxiliary program Personal;2021-09-07T09:51:59;2021-09-07T08:50:29
8;Illinois transmitting structure;calculating;indexing;transmit Handcrafted magenta;2021-09-07T19:33:52;2021-09-07T18:15:10
9;Soft;client-driven California Associate;mobile;York Berkshire;2021-09-07T20:39:11;2021-09-08T06:29:22
10;Money Specialist;Fiji;turquoise connect;Wooden;2021-09-08T01:58:10;2021-09-08T00:09:48
